time,x_mpc,y_mpc,z_mpc,vx_mpc,vy_mpc,vz_mpc
1.280002553005464527e+01,6.409559425293628321e-01,1.331956541781548209e-01,2.553704945796070880e-01,2.606560730727154954e-03,-2.662369339666370571e-02,-6.857301498407361280e-04
1.290002572950819726e+01,6.412415272313645165e-01,1.302981824304395575e-01,2.552995076051002288e-01,3.105121917152411058e-03,-3.132562597566586338e-02,-7.340065085807850626e-04
1.300002592896174924e+01,6.415809233605878070e-01,1.269250236091044870e-01,2.552242035143417187e-01,3.682787128587692443e-03,-3.613741589360248280e-02,-7.720723026625601112e-04
1.310002612841530123e+01,6.419798861659535838e-01,1.230681147237261824e-01,2.551454734730437823e-01,4.296453063851839171e-03,-4.100060795943501202e-02,-8.025253827057648700e-04
1.320002632786885322e+01,6.424418005766079354e-01,1.187160696231811946e-01,2.550638619992675049e-01,4.941816723179792009e-03,-4.604012044564031320e-02,-8.297008372866785221e-04
1.330002652732240520e+01,6.429630892734450320e-01,1.138701690613539153e-01,2.549797226214585710e-01,5.483936419027808130e-03,-5.087769748487489668e-02,-8.530833625193028026e-04
1.340002672677595719e+01,6.435341464873857165e-01,1.085454225742977646e-01,2.548933048859324813e-01,5.937185079955040190e-03,-5.561701984875185717e-02,-8.752679007442830828e-04
1.350002692622950917e+01,6.441446424799780468e-01,1.027580207301073412e-01,2.548046835998925008e-01,6.272710418821172106e-03,-6.013078617194624748e-02,-8.971542848964346190e-04
1.360002712568306116e+01,6.447818823629506424e-01,9.653816657471195328e-02,2.547138672953314087e-01,6.472061820729969536e-03,-6.426604882205570746e-02,-9.191681836054288674e-04
1.370002732513661314e+01,6.454317482965449271e-01,8.993127253501613516e-02,2.546208731274276493e-01,6.525230927595607015e-03,-6.787156841868954849e-02,-9.407114648730613773e-04
1.380002752459016513e+01,6.460794965630083375e-01,8.299640105588830530e-02,2.545258436463621043e-01,6.429708562585261487e-03,-7.082558452746902378e-02,-9.598743656520139760e-04
1.390002772404371711e+01,6.467105864789264302e-01,7.580253503666425918e-02,2.544291503405451405e-01,6.192064581202375885e-03,-7.305144888915848789e-02,-9.739878935303100151e-04
1.400002792349726910e+01,6.473117121886426961e-01,6.842414222325443607e-02,2.543314074966375737e-01,5.830425633840296412e-03,-7.451611305029409715e-02,-9.808650855969815782e-04
1.410002812295081931e+01,6.478719515828809117e-01,6.093755193844552914e-02,2.542333689819519793e-01,5.374339902621139836e-03,-7.521539400107492279e-02,-9.799012972975308135e-04
1.420002832240437129e+01,6.483836573329154751e-01,5.341901276883768285e-02,2.541357628561215498e-01,4.859754685805210347e-03,-7.515508947181172295e-02,-9.722173257414177183e-04
1.430002852185792328e+01,6.488426917898477697e-01,4.594519432001584192e-02,2.540391705208145390e-01,4.320916141666874578e-03,-7.432098136929261856e-02,-9.596255272688988727e-04
1.440002872131147527e+01,6.492477369205226223e-01,3.859112866409938197e-02,2.539439934888356176e-01,3.779970314324491466e-03,-7.276003839071849832e-02,-9.439113156377747834e-04
1.450002892076502725e+01,6.495995145213665500e-01,3.144347859972931175e-02,2.538506686718826066e-01,3.255567669923376331e-03,-7.019267777241290640e-02,-9.225813006363358217e-04
1.460002912021857924e+01,6.498991821958990389e-01,2.458611424908969598e-02,2.537596833454940914e-01,2.737773866794172666e-03,-6.695433569578966571e-02,-8.971215976719185397e-04
1.470002931967213122e+01,6.501463514604982619e-01,1.807521799180344599e-02,2.536713812140428126e-01,2.205601565454339344e-03,-6.326332972617650097e-02,-8.689175089259819525e-04
