time,x_desired,y_desired,z_desired
1.339399433368344035e+02,5.248883643674335797e-01,-3.156538234265398386e-04,7.400785252653769852e-01
1.339499433326039366e+02,5.248814508284322944e-01,-3.138492164486486060e-04,7.400552994757861880e-01
1.339599433283734413e+02,5.248745780442303221e-01,-3.119692355428127332e-04,7.400322091123281432e-01
1.339699433241429460e+02,5.248677460584585397e-01,-3.100141900419938097e-04,7.400092544028090691e-01
1.339799433199124508e+02,5.248609549137177588e-01,-3.079843916888472884e-04,7.399864355721494924e-01
1.339899433156819839e+02,5.248542046515772830e-01,-3.058801546343541144e-04,7.399637528423813615e-01
1.339999433114514886e+02,5.248474953125745746e-01,-3.037017954364314284e-04,7.399412064326452709e-01
1.340099433072209933e+02,5.248408269362141443e-01,-3.014496330585228327e-04,7.399187965591875749e-01
1.340199433029904981e+02,5.248341995609665522e-01,-2.991239888681683284e-04,7.398965234353573894e-01
1.340299432987600312e+02,5.248276132242678527e-01,-2.967251866355533280e-04,7.398743872716040393e-01
1.340399432945295359e+02,5.248210679625187058e-01,-2.942535525320377722e-04,7.398523882754742820e-01
1.340499432902990407e+02,5.248145638110831568e-01,-2.917094151286644304e-04,7.398305266516094214e-01
1.340599432860685454e+02,5.248081008042883022e-01,-2.890931053946471977e-04,7.398088026017428653e-01
1.340699432818380501e+02,5.248016789754234024e-01,-2.864049566958390088e-04,7.397872163246972388e-01
1.340799432776075832e+02,5.247952983567387708e-01,-2.836453047931793690e-04,7.397657680163820526e-01
1.340899432733770880e+02,5.247889589794452192e-01,-2.808144878411220438e-04,7.397444578697908169e-01
1.340999432691465927e+02,5.247826608737135023e-01,-2.779128463860422579e-04,7.397232860749987093e-01
1.341099432649160974e+02,5.247764040686730969e-01,-2.749407233646240529e-04,7.397022528191600221e-01
1.341199432606856305e+02,5.247701885924118681e-01,-2.718984641022276411e-04,7.396813582865056080e-01
1.341299432564551353e+02,5.247640144719749600e-01,-2.687864163112366482e-04,7.396606026583405491e-01
1.341399432522246400e+02,5.247578817333644619e-01,-2.656049300893854057e-04,7.396399861130416031e-01
1.341499432479941447e+02,5.247517904015385204e-01,-2.623543579180665115e-04,7.396195088260548722e-01
1.341599432437636779e+02,5.247457405004104514e-01,-2.590350546606184955e-04,7.395991709698934713e-01
1.341699432395331826e+02,5.247397320528484066e-01,-2.556473775605936976e-04,7.395789727141354186e-01
1.341799432353026873e+02,5.247337650806743747e-01,-2.521916862400063603e-04,7.395589142254208603e-01
1.341899432310721920e+02,5.247278396046638482e-01,-2.486683426975612042e-04,7.395389956674502940e-01
1.341999432268416967e+02,5.247219556445447131e-01,-2.450777113068621643e-04,7.395192172009821263e-01
1.342099432226112299e+02,5.247161132189971378e-01,-2.414201588146017987e-04,7.394995789838305633e-01
1.342199432183807346e+02,5.247103123456525742e-01,-2.376960543387308846e-04,7.394800811708635013e-01
1.342299432141502393e+02,5.247045530410932024e-01,-2.339057693666087695e-04,7.394607239140000843e-01
1.342399432099197440e+02,5.246988353208514866e-01,-2.300496777531342335e-04,7.394415073622091494e-01
1.342499432056892772e+02,5.246931591994092869e-01,-2.261281557188568906e-04,7.394224316615067849e-01
1.342599432014587819e+02,5.246875246901976375e-01,-2.221415818480693724e-04,7.394034969549543312e-01
1.342699431972282866e+02,5.246819318055958581e-01,-2.180903370868801856e-04,7.393847033826567161e-01
1.342799431929977914e+02,5.246763805569311101e-01,-2.139748047412673524e-04,7.393660510817600118e-01
1.342899431887673245e+02,5.246708709544780636e-01,-2.097953704751129148e-04,7.393475401864499919e-01
1.342999431845368292e+02,5.246654030074577868e-01,-2.055524223082182752e-04,7.393291708279499108e-01
1.343099431803063339e+02,5.246599767240379686e-01,-2.012463506143004279e-04,7.393109431345187277e-01
1.343199431760758387e+02,5.246545921113316968e-01,-1.968775481189692991e-04,7.392928572314493296e-01
1.343299431718453434e+02,5.246492491753974585e-01,-1.924464098976860315e-04,7.392749132410667556e-01
1.343399431676148765e+02,5.246439479212383628e-01,-1.879533333737023494e-04,7.392571112827264201e-01
1.343499431633843813e+02,5.246386883528018075e-01,-1.833987183159811133e-04,7.392394514728122257e-01
1.343599431591538860e+02,5.246334704729789244e-01,-1.787829668370979549e-04,7.392219339247352305e-01
1.343699431549233907e+02,5.246282942836042462e-01,-1.741064833911243456e-04,7.392045587489314284e-01
1.343799431506929238e+02,5.246231597854549289e-01,-1.693696747714917177e-04,7.391873260528607492e-01
1.343899431464624286e+02,5.246180669782508632e-01,-1.645729501088371281e-04,7.391702359410050605e-01
1.343999431422319333e+02,5.246130158606535643e-01,-1.597167208688302456e-04,7.391532885148665022e-01
1.344099431380014380e+02,5.246080064302665047e-01,-1.548014008499816907e-04,7.391364838729663767e-01
1.344199431337709711e+02,5.246030386836340043e-01,-1.498274061814330253e-04,7.391198221108433719e-01
1.344299431295404759e+02,5.245981126162413410e-01,-1.447951553207282556e-04,7.391033033210520076e-01
1.344399431253099806e+02,5.245932282225141963e-01,-1.397050690515668782e-04,7.390869275931613025e-01
1.344499431210794853e+02,5.245883854958180992e-01,-1.345575704815386018e-04,7.390706950137534426e-01
1.344599431168489900e+02,5.245835844284585381e-01,-1.293530850398398276e-04,7.390546056664223373e-01
1.344699431126185232e+02,5.245788250116799611e-01,-1.240920404749718074e-04,7.390386596317721768e-01
1.344799431083880279e+02,5.245741072356661094e-01,-1.187748668524207210e-04,7.390228569874163211e-01
1.344899431041575326e+02,5.245694310895392398e-01,-1.134019965523195140e-04,7.390071978079757464e-01
1.344999430999270373e+02,5.245647965613600139e-01,-1.079738642670917225e-04,7.389916821650780454e-01
1.345099430956965705e+02,5.245602036381270539e-01,-1.024909069990772599e-04,7.389763101273560952e-01
1.345199430914660752e+02,5.245556523057767206e-01,-9.695356405814016640e-05,7.389610817604468362e-01
1.345299430872355799e+02,5.245511425491827806e-01,-9.136227705925854846e-05,7.389459971269901617e-01
1.345399430830050846e+02,5.245466743521564057e-01,-8.571748992009650876e-05,7.389310562866278076e-01
1.345499430787746178e+02,5.245422476974453962e-01,-8.001964885855838907e-05,7.389162592960022424e-01
1.345599430745441225e+02,5.245378625667345140e-01,-7.426920239032517841e-05,7.389016062087555570e-01
1.345699430703136272e+02,5.245335189406448162e-01,-6.846660132637319440e-05,7.388870970755283540e-01
1.345799430660831320e+02,5.245292167987334331e-01,-6.261229877047515984e-05,7.388727319439590824e-01
1.345899430618526367e+02,5.245249561194937904e-01,-5.670675011668363400e-05,7.388585108586827044e-01
1.345999430576221698e+02,5.245207368803549430e-01,-5.075041304679692037e-05,7.388444338613299189e-01
1.346099430533916745e+02,5.245165590576814640e-01,-4.474374752780743757e-05,7.388305009905261622e-01
1.346199430491611793e+02,5.245124226267733336e-01,-3.868721580933270226e-05,7.388167122818908306e-01
1.346299430449306840e+02,5.245083275618659391e-01,-3.258128242102884290e-05,7.388030677680363922e-01
1.346399430407002171e+02,5.245042738361296308e-01,-2.642641416998685097e-05,7.387895674785676103e-01
1.346499430364697218e+02,5.245002614216696113e-01,-2.022308013811149508e-05,7.387762114400805435e-01
1.346599430322392266e+02,5.244962902895259349e-01,-1.397175167948302684e-05,7.387629996761622131e-01
1.346699430280087313e+02,5.244923604096732861e-01,-7.672902417701703723e-06,7.387499322073893815e-01
1.346799430237782644e+02,5.244884717510208683e-01,-1.327008243215189251e-06,7.387370090513281085e-01
1.346899430195477692e+02,5.244846242814122927e-01,5.065452689371118849e-06,7.387242302225331958e-01
1.346999430153172739e+02,5.244808179676255788e-01,1.150399996400077818e-05,7.387115957325474103e-01
1.347099430110867786e+02,5.244770527753727096e-01,1.798815090588995474e-05,7.386991055899008174e-01
1.347199430068562833e+02,5.244733286693000762e-01,2.451742058426797688e-05,7.386867598001103374e-01
1.347299430026258165e+02,5.244696456129880335e-01,3.109132181513475955e-05,7.386745583656791903e-01
1.347399429983953212e+02,5.244660035689510114e-01,3.770936516403501084e-05,7.386625012860962292e-01
1.347499429941648259e+02,5.244624024986374033e-01,4.437105894884921237e-05,7.386505885578356079e-01
1.347599429899343306e+02,5.244588423624294560e-01,5.107590924260124884e-05,7.386388201743562254e-01
1.347699429857038638e+02,5.244553231196434906e-01,5.782341987628272762e-05,7.386271961261015040e-01
1.347799429814733685e+02,5.244518447285295704e-01,6.461309244169385273e-05,7.386157164004987230e-01
