time,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6,tau_j7
5.609997626695841788e+00,1.600000000000000089e+00,-1.598374867941677913e+01,-1.093440872553414600e+01,-3.792012894262677847e+00,-3.359147854986613835e-01,-1.005635105416018416e+00,7.603471191983418587e-02
5.619997622465353615e+00,1.600000000000000089e+00,-2.278975520085359108e+01,-8.981792059641110271e+00,-3.498024021428793429e+00,-3.683688603408555307e-01,-1.011827763757358278e+00,6.468015284557167288e-02
5.629997618234864554e+00,1.600000000000000089e+00,-2.599727719512333124e+01,-6.465841770529939581e+00,-2.895083128669053263e+00,-3.482533827970034079e-01,-8.269902326502512890e-01,5.501317328565814846e-02
5.639997614004375492e+00,1.600000000000000089e+00,-2.550080924157997586e+01,-4.171498456966535429e+00,-2.190594079500597147e+00,-2.962664976793599747e-01,-5.217698684662173125e-01,4.944244435038697150e-02
5.649997609773887319e+00,1.600000000000000089e+00,-2.316405704592825998e+01,-2.517124620853275818e+00,-1.583451513760367080e+00,-2.427911728827837068e-01,-2.052926801544635305e-01,4.779975191098884135e-02
5.659997605543398258e+00,1.593772207732182089e+00,-2.074434475257386268e+01,-1.478288939001478397e+00,-1.140581757371477600e+00,-2.031308886042883510e-01,6.149536541948721902e-02,4.891338616257598360e-02
5.669997601312910085e+00,1.580589633020400564e+00,-1.904288119357661913e+01,-8.729687179027356692e-01,-8.384019160700784123e-01,-1.784448143119975183e-01,2.683116077174058089e-01,5.177643072242725519e-02
5.679997597082421024e+00,1.563473466946072588e+00,-1.818786127065797231e+01,-5.423273245990587466e-01,-6.301895507371311211e-01,-1.648063315923550820e-01,4.267714078040113490e-01,5.565916044677335361e-02
5.689997592851931962e+00,1.543963303008129673e+00,-1.809158439394651907e+01,-3.829755317894105726e-01,-4.781220796627879688e-01,-1.585133163488832153e-01,5.508922531021998026e-01,6.022928558499392182e-02
5.699997588621443789e+00,1.522784779980092651e+00,-1.863642867445709683e+01,-3.295387688959816597e-01,-3.562566644057003629e-01,-1.571368554477525770e-01,6.522988482741057803e-01,6.541375294342380298e-02
5.709997584390954728e+00,1.500212762132004940e+00,-1.971261059151669315e+01,-3.394158755579448350e-01,-2.473982485651027297e-01,-1.593020759227652405e-01,7.397803688985786774e-01,7.118074478838297414e-02
5.719997580160466555e+00,1.476248844942482208e+00,-2.122899602913716066e+01,-3.815080567284860891e-01,-1.405953631678322768e-01,-1.644186181848084627e-01,8.197987988533083081e-01,7.750025879758720704e-02
5.729997575929977494e+00,1.450695420754333886e+00,-2.310705450792524474e+01,-4.293009711855826360e-01,-2.952273799286553313e-02,-1.724521924884440671e-01,8.971721370598327860e-01,8.432621506991198890e-02
