time,x_des,y_des,z_des,vx_des,vy_des,vz_des
1.144104999999999883e+01,7.730979194407812116e-01,7.577759761699446456e-03,1.896746661938559023e-02,-1.088866739816953949e-01,-2.980657756961417257e-02,-3.926505441704019120e-03
1.154142000000000046e+01,7.598481716467189173e-01,4.526475610635460889e-03,1.864659611918982607e-02,-1.527890227967630132e-01,-3.162617883005472419e-02,-2.681836843479569552e-03
1.164176999999999929e+01,7.424303970841582556e-01,1.229813236670640290e-03,1.842917342365237368e-02,-1.913260065594423187e-01,-3.452088127122236727e-02,-1.679858611643381345e-03
1.174211999999999989e+01,7.214455791295201204e-01,-2.402490088449876077e-03,1.830941809039212873e-02,-2.233758399723628219e-01,-3.813833449255102370e-02,-5.660031591887801404e-04
1.184248000000000012e+01,6.975948228990015432e-01,-6.425240799838664515e-03,1.831556634494600419e-02,-2.479981094668507746e-01,-4.212198214172410693e-02,9.597374721755662277e-04
1.194280000000000008e+01,6.716678697937418230e-01,-1.085713431217066871e-02,1.850205477230601123e-02,-2.646975254935944877e-01,-4.617480040607708364e-02,3.106756308463571974e-03
1.204314999999999891e+01,6.444652385072257017e-01,-1.569335900522568494e-02,1.893914856834382626e-02,-2.732634482271388832e-01,-5.005122507844104313e-02,5.971288365541889236e-03
1.214353000000000016e+01,6.168189496661421467e-01,-2.090332111258770553e-02,1.970060042758968455e-02,-2.735404817757866036e-01,-5.352719678808808695e-02,9.524186181777706192e-03
1.224389000000000038e+01,5.895607127321051966e-01,-2.643723624285682777e-02,2.085082512279650205e-02,-2.658215157174285137e-01,-5.647533325990885394e-02,1.362469297349580208e-02
1.234423999999999921e+01,5.634637600922197676e-01,-3.223894270138341622e-02,2.243532291431311193e-02,-2.507297205702335718e-01,-5.885098366037464640e-02,1.804434779604394828e-02
1.244459999999999944e+01,5.392347196057170056e-01,-3.824969386629827051e-02,2.447265232815763053e-02,-2.289649114694593257e-01,-6.063783404109114594e-02,2.248367630699597483e-02
1.254495000000000005e+01,5.175063580954016862e-01,-4.441005353822655155e-02,2.694820370366836013e-02,-2.014200139391250366e-01,-6.186866200359476820e-02,2.661092296297822707e-02
1.264529999999999887e+01,4.988060771058823173e-01,-5.066785415320200492e-02,2.981394622453299031e-02,-1.691600348784245700e-01,-6.262184501827805505e-02,3.009947899693898865e-02
1.274567000000000050e+01,4.835528772986705803e-01,-5.697939128878978798e-02,3.298971393892385917e-02,-1.332554108168526597e-01,-6.296451109964357196e-02,3.263760931353806155e-02
