time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.224,-0.107703,-0.441124,-0.0943243,0.433104,-0.00788753,0.15162,1.16339e-18
0.225,-0.10754,-0.440599,-0.0941753,0.432398,-0.00787533,0.15133,5.52264e-18
0.226,-0.10754,-0.440599,-0.0941753,0.432398,-0.00787533,0.15133,5.52264e-18
0.227,-0.10754,-0.440599,-0.0941753,0.432398,-0.00787533,0.15133,5.52264e-18
0.228,-0.10737,-0.440129,-0.0940183,0.431767,-0.0078619,0.151071,8.33127e-18
0.229,-0.107272,-0.439959,-0.0939236,0.43154,-0.00785302,0.150978,-1.02912e-17
0.23,-0.107272,-0.439959,-0.0939236,0.43154,-0.00785302,0.150978,-1.02912e-17
0.231,-0.107107,-0.439491,-0.0937713,0.43091,-0.00784008,0.150719,2.94428e-18
0.232,-0.107107,-0.439491,-0.0937713,0.43091,-0.00784008,0.150719,2.94428e-18
0.233,-0.106944,-0.439032,-0.093621,0.430291,-0.00782729,0.150464,-1.49436e-17
0.234,-0.106944,-0.439032,-0.093621,0.430291,-0.00782729,0.150464,-1.49436e-17
0.235,-0.106783,-0.438585,-0.093472,0.429687,-0.00781457,0.150215,5.61004e-18
0.236,-0.106783,-0.438585,-0.093472,0.429687,-0.00781457,0.150215,5.61004e-18
0.237,-0.106683,-0.438455,-0.0933742,0.429514,-0.00780511,0.150144,-6.56112e-18
0.238,-0.106683,-0.438455,-0.0933742,0.429514,-0.00780511,0.150144,-6.56112e-18
0.239,-0.106467,-0.437728,-0.0931779,0.428526,-0.00778931,0.149736,-4.6872e-18
0.24,-0.106467,-0.437728,-0.0931779,0.428526,-0.00778931,0.149736,-4.6872e-18
0.241,-0.106311,-0.437306,-0.0930334,0.427953,-0.00777691,0.1495,6.79964e-19
0.242,-0.106311,-0.437306,-0.0930334,0.427953,-0.00777691,0.1495,6.79964e-19
0.243,-0.106158,-0.436901,-0.0928914,0.427402,-0.00776466,0.149272,1.02643e-17
0.244,-0.106158,-0.436901,-0.0928914,0.427402,-0.00776466,0.149272,1.02643e-17
0.245,-0.106007,-0.436508,-0.0927505,0.426867,-0.00775246,0.149051,1.65438e-18
0.246,-0.105859,-0.436123,-0.0926122,0.42634,-0.00774048,0.148833,-7.9493e-18
0.247,-0.105859,-0.436123,-0.0926122,0.42634,-0.00774048,0.148833,-7.9493e-18
0.248,-0.105711,-0.435763,-0.092473,0.425847,-0.00772824,0.148629,-6.69852e-18
0.249,-0.105711,-0.435763,-0.092473,0.425847,-0.00772824,0.148629,-6.69852e-18
0.25,-0.105568,-0.435398,-0.0923393,0.425346,-0.00771663,0.148421,1.50897e-17
0.251,-0.105568,-0.435398,-0.0923393,0.425346,-0.00771663,0.148421,1.50897e-17
0.252,-0.105425,-0.43505,-0.0922055,0.424866,-0.00770488,0.148222,1.46318e-17
0.253,-0.105425,-0.43505,-0.0922055,0.424866,-0.00770488,0.148222,1.46318e-17
